ID,Site_Name,AOI,Subarea,Minerals,Roads,THREAT
0,Abru-I Dukhtaran,0,0,0,0,0
1,Adraskan Rud,1,0,0,1,2
2,Akhtachi,1,0,0,1,2
3,Azadan,1,0,0,1,2
4,Bagh-I Nazargah,1,0,0,1,2
5,Barnabad,0,0,0,0,0
6,Charkha,0,0,0,0,0
7,Chashma-I Obeh,0,0,0,0,0
8,Chehel Dukhtaran,0,0,0,0,0
9,Chisht,1,0,0,1,2
10,Chugur,1,0,0,1,2
11,Darauji,0,0,0,0,0
12,Deh-I Minar,0,0,0,0,0
13,Gazurgah,1,0,0,1,2
14,Ghalwar,1,0,0,1,2
15,Ghar-I Darwishan,1,0,0,1,2
16,Ghar-I Suni,1,0,0,1,2
17,Ghuriyan,0,0,0,0,0
18,Gulran,1,0,0,1,2
19,Gunabad,0,0,0,0,0
20,Hasanabad,0,0,0,0,0
21,Hazrat-I Baba,1,0,0,1,2
22,Herat,1,0,0,1,2
23,Islam Qal'a,0,0,0,0,0
24,Jija,0,0,0,0,0
25,Kaftarkhan,0,0,0,0,0
26,Karukh,1,1,0,1,3
27,Khairabad,0,0,0,0,0
28,Khundur,0,0,0,0,0
29,Khwaja 'Abdul Haq Wali,0,0,0,0,0
30,Khwaja Muhammad Shurab,0,0,0,0,0
31,Khwaja Ria Baba,1,0,0,1,2
32,Kushan,0,0,0,0,0
33,Kush Asya,0,0,0,0,0
34,Kushk,0,0,0,0,0
35,Kush Rabat,1,0,0,1,2
36,Mir Daud,0,0,0,0,0
37,Misgaran,1,1,1,0,3
38,Mughalan-I Kuhna,1,0,0,1,2
39,Nariman,1,1,0,1,3
40,Obeh,0,0,0,0,0
41,Palgrid & Ghuriyan Tepe,0,0,0,0,0
42,Pir-I Surkh,0,0,0,0,0
43,Pul-I Malan,0,0,0,0,0
44,Qal'a-I Dukhtar,1,0,0,1,2
45,Qal'a-I Jamal,0,0,0,0,0
46,Qal'a-I Kamar,1,0,0,1,2
47,Qal'a-I Mir 'Alam,1,0,0,1,2
48,Qal'a-I Pesar,1,0,0,1,2
49,Qal'a-I Zindajan,0,0,0,0,0
50,Qarabagh,1,0,0,1,2
51,Rabat-I Mirza,1,0,0,1,2
52,Rabat-I Pai,0,0,0,0,0
53,Rabat-I Sahib Zada,0,0,0,0,0
54,Rabat-I Sangaran,1,0,0,1,2
55,Rabat-I Sang-I Bala,1,0,0,1,2
56,Rabat-I Sang-I Pa'in,1,0,0,1,2
57,Sabarz,1,0,0,0,1
58,Sang Bur,0,0,0,0,0
59,Shabash,0,0,0,0,0
60,Shahbid,1,0,0,1,2
61,Shahrabad,0,0,0,0,0
62,Shah Uzbeg,1,0,0,1,2
63,Sha'ida,1,1,1,0,3
64,Shindand,1,0,0,1,2
65,Shirband,1,0,0,1,2
66,Sirwan,0,0,0,0,0
67,Sur,0,0,0,0,0
68,Tepe Gulak,0,0,0,0,0
69,Tirpul,0,0,0,0,0
70,Turghundi,0,0,0,0,0
71,Zindajin,0,0,0,0,0
72,Ziyaratgah,0,0,0,0,0
73,Ziyarat-I Baba Furg,1,0,0,1,2
74,Ziyarat-I Sayyad Wakas,0,0,0,0,0
